"","Candidates","Voters","Simulation","Agreement"
"206",3,10000,6,0.99
"207",3,10000,7,1
"208",3,10000,8,1
"209",3,10000,9,0.97
"210",3,10000,10,1
"211",3,10000,11,0.99
"212",3,10000,12,0.99
"213",3,10000,13,0.99
"214",3,10000,14,1
"215",3,10000,15,0.98
"216",3,10000,16,0.98
"217",3,10000,17,0.99
"218",3,10000,18,1
"219",3,10000,19,1
"220",3,10000,20,0.99
"221",3,10000,21,0.99
"222",3,10000,22,1
"223",3,10000,23,1
"224",3,10000,24,0.99
"225",3,10000,25,0.98
"226",3,10000,26,0.99
"227",3,10000,27,1
"228",3,10000,28,0.99
"229",3,10000,29,1
"230",3,10000,30,0.97
"231",3,10000,31,0.99
"232",3,10000,32,1
"233",3,10000,33,1
"234",3,10000,34,0.99
"235",3,10000,35,1
"236",3,10000,36,1
"237",3,10000,37,1
"238",3,10000,38,1
"239",3,10000,39,1
"240",3,10000,40,1
"241",3,10000,41,1
"242",3,10000,42,0.99
"243",3,10000,43,0.98
"244",3,10000,44,1
"245",3,10000,45,0.98
"246",3,10000,46,0.99
"247",3,10000,47,0.98
"248",3,10000,48,1
"249",3,10000,49,0.99
"250",3,10000,50,1
"251",3,10000,51,0.99
"252",3,10000,52,0.98
"253",3,10000,53,0.99
"254",3,10000,54,1
"255",3,10000,55,1
"256",3,10000,56,0.99
"257",3,10000,57,1
"258",3,10000,58,1
"259",3,10000,59,0.99
"260",3,10000,60,1
"261",3,10000,61,1
"262",3,10000,62,0.99
"263",3,10000,63,0.99
"264",3,10000,64,1
"265",3,10000,65,1
"266",3,10000,66,0.99
"267",3,10000,67,1
"268",3,10000,68,1
"269",3,10000,69,0.98
"270",3,10000,70,0.99
"271",3,10000,71,1
"272",3,10000,72,1
"273",3,10000,73,0.99
"274",3,10000,74,1
"275",3,10000,75,1
"276",3,10000,76,0.99
"277",3,10000,77,0.97
"278",3,10000,78,1
"279",3,10000,79,1
"280",3,10000,80,0.99
"281",3,10000,81,0.99
"282",3,10000,82,0.99
"283",3,10000,83,0.99
"284",3,10000,84,1
"285",3,10000,85,0.99
"286",3,10000,86,1
"287",3,10000,87,0.98
"288",3,10000,88,0.99
"289",3,10000,89,0.99
"290",3,10000,90,1
"291",3,10000,91,1
"292",3,10000,92,1
"293",3,10000,93,1
"294",3,10000,94,0.99
"295",3,10000,95,0.99
"296",3,10000,96,0.98
"297",3,10000,97,1
"298",3,10000,98,1
"299",3,10000,99,1
"300",3,10000,100,0.99
"301",3,1e+05,1,1
"302",3,1e+05,2,1
"303",3,1e+05,3,1
"304",3,1e+05,4,1
"305",3,1e+05,5,1
"306",3,1e+05,6,1
"307",3,1e+05,7,1
"308",3,1e+05,8,1
"309",3,1e+05,9,1
"310",3,1e+05,10,1
"311",3,1e+05,11,1
"312",3,1e+05,12,1
"313",3,1e+05,13,1
"314",3,1e+05,14,1
"315",3,1e+05,15,1
"316",3,1e+05,16,1
"317",3,1e+05,17,1
"318",3,1e+05,18,1
"319",3,1e+05,19,1
"320",3,1e+05,20,1
"321",3,1e+05,21,1
"322",3,1e+05,22,1
"323",3,1e+05,23,1
"324",3,1e+05,24,1
"325",3,1e+05,25,1
"326",3,1e+05,26,1
"327",3,1e+05,27,1
"328",3,1e+05,28,1
"329",3,1e+05,29,1
"330",3,1e+05,30,1
"331",3,1e+05,31,1
"332",3,1e+05,32,1
"333",3,1e+05,33,1
"334",3,1e+05,34,1
"335",3,1e+05,35,1
"336",3,1e+05,36,1
"337",3,1e+05,37,1
"338",3,1e+05,38,1
"339",3,1e+05,39,1
