"","Candidates","Voters","Simulation","Agreement"
"1",6,100,1,0.82
"2",6,100,2,0.91
"3",6,100,3,0.9
"4",6,100,4,0.93
"5",6,100,5,0.87
"6",6,100,6,0.89
"7",6,100,7,0.83
"8",6,100,8,0.87
"9",6,100,9,0.8
"10",6,100,10,0.89
"11",6,100,11,0.93
"12",6,100,12,0.95
"13",6,100,13,0.82
"14",6,100,14,0.95
"15",6,100,15,0.88
"16",6,100,16,0.87
"17",6,100,17,0.79
"18",6,100,18,0.96
"19",6,100,19,0.82
"20",6,100,20,0.86
"21",6,100,21,0.92
"22",6,100,22,0.9
"23",6,100,23,0.89
"24",6,100,24,0.79
"25",6,100,25,0.85
"26",6,100,26,0.95
"27",6,100,27,0.89
"28",6,100,28,0.88
"29",6,100,29,0.84
"30",6,100,30,0.81
"31",6,100,31,0.82
"32",6,100,32,0.88
"33",6,100,33,0.86
"34",6,100,34,0.87
"35",6,100,35,0.9
"36",6,100,36,0.89
"37",6,100,37,0.91
"38",6,100,38,0.85
"39",6,100,39,0.86
"40",6,100,40,0.9
"41",6,100,41,0.82
"42",6,100,42,0.87
"43",6,100,43,0.84
"44",6,100,44,0.87
"45",6,100,45,0.87
"46",6,100,46,0.87
"47",6,100,47,0.92
"48",6,100,48,0.85
"49",6,100,49,0.87
"50",6,100,50,0.88
"51",6,100,51,0.86
"52",6,100,52,0.86
"53",6,100,53,0.84
"54",6,100,54,0.86
"55",6,100,55,0.93
"56",6,100,56,0.86
"57",6,100,57,0.85
"58",6,100,58,0.92
"59",6,100,59,0.87
"60",6,100,60,0.88
"61",6,100,61,0.88
"62",6,100,62,0.85
"63",6,100,63,0.92
"64",6,100,64,0.87
"65",6,100,65,0.82
"66",6,100,66,0.78
"67",6,100,67,0.91
"68",6,100,68,0.84
"69",6,100,69,0.86
"70",6,100,70,0.85
"71",6,100,71,0.87
"72",6,100,72,0.87
"73",6,100,73,0.91
"74",6,100,74,0.91
"75",6,100,75,0.91
"76",6,100,76,0.9
"77",6,100,77,0.93
"78",6,100,78,0.88
"79",6,100,79,0.78
"80",6,100,80,0.88
"81",6,100,81,0.86
"82",6,100,82,0.86
"83",6,100,83,0.85
"84",6,100,84,0.91
"85",6,100,85,0.89
"86",6,100,86,0.85
"87",6,100,87,0.84
"88",6,100,88,0.85
"89",6,100,89,0.92
"90",6,100,90,0.87
"91",6,100,91,0.92
"92",6,100,92,0.86
"93",6,100,93,0.88
"94",6,100,94,0.88
"95",6,100,95,0.88
"96",6,100,96,0.81
"97",6,100,97,0.82
"98",6,100,98,0.88
"99",6,100,99,0.94
"100",6,100,100,0.86
"101",6,1000,1,0.92
"102",6,1000,2,0.94
"103",6,1000,3,0.95
"104",6,1000,4,0.91
"105",6,1000,5,0.91
"106",6,1000,6,0.92
"107",6,1000,7,0.9
"108",6,1000,8,0.92
"109",6,1000,9,0.91
"110",6,1000,10,0.93
"111",6,1000,11,0.9
"112",6,1000,12,0.94
"113",6,1000,13,0.94
"114",6,1000,14,0.95
"115",6,1000,15,0.9
"116",6,1000,16,0.96
"117",6,1000,17,0.93
"118",6,1000,18,0.93
"119",6,1000,19,0.94
"120",6,1000,20,0.95
"121",6,1000,21,0.95
"122",6,1000,22,0.94
"123",6,1000,23,0.97
"124",6,1000,24,0.93
"125",6,1000,25,0.95
"126",6,1000,26,0.92
"127",6,1000,27,0.93
"128",6,1000,28,0.96
"129",6,1000,29,0.97
"130",6,1000,30,0.92
"131",6,1000,31,0.93
"132",6,1000,32,0.9
"133",6,1000,33,0.93
"134",6,1000,34,0.88
"135",6,1000,35,0.99
"136",6,1000,36,0.89
"137",6,1000,37,0.94
"138",6,1000,38,0.91
"139",6,1000,39,0.95
"140",6,1000,40,0.96
"141",6,1000,41,0.95
"142",6,1000,42,0.94
"143",6,1000,43,0.94
"144",6,1000,44,0.89
"145",6,1000,45,0.93
"146",6,1000,46,0.93
"147",6,1000,47,0.91
"148",6,1000,48,0.94
"149",6,1000,49,0.9
"150",6,1000,50,0.94
"151",6,1000,51,0.95
"152",6,1000,52,0.92
"153",6,1000,53,0.91
"154",6,1000,54,0.95
"155",6,1000,55,0.94
"156",6,1000,56,0.94
"157",6,1000,57,0.93
"158",6,1000,58,0.88
"159",6,1000,59,0.92
"160",6,1000,60,0.95
"161",6,1000,61,0.92
"162",6,1000,62,0.95
"163",6,1000,63,0.9
"164",6,1000,64,0.96
"165",6,1000,65,0.9
"166",6,1000,66,0.94
"167",6,1000,67,0.95
"168",6,1000,68,0.93
"169",6,1000,69,0.94
"170",6,1000,70,0.93
"171",6,1000,71,0.96
"172",6,1000,72,0.94
"173",6,1000,73,0.91
"174",6,1000,74,0.93
"175",6,1000,75,0.93
"176",6,1000,76,0.94
"177",6,1000,77,0.89
"178",6,1000,78,0.92
"179",6,1000,79,0.91
"180",6,1000,80,0.93
"181",6,1000,81,0.91
"182",6,1000,82,0.91
"183",6,1000,83,0.95
"184",6,1000,84,0.96
"185",6,1000,85,0.95
"186",6,1000,86,0.9
"187",6,1000,87,0.93
"188",6,1000,88,0.94
"189",6,1000,89,0.96
"190",6,1000,90,0.95
"191",6,1000,91,0.94
"192",6,1000,92,0.95
"193",6,1000,93,0.95
"194",6,1000,94,0.91
"195",6,1000,95,0.88
"196",6,1000,96,0.93
"197",6,1000,97,0.88
"198",6,1000,98,0.89
"199",6,1000,99,0.94
"200",6,1000,100,0.95
"201",6,10000,1,1
"202",6,10000,2,1
"203",6,10000,3,1
"204",6,10000,4,1
"205",6,10000,5,1
"206",6,10000,6,0.99
"207",6,10000,7,1
"208",6,10000,8,0.99
"209",6,10000,9,1
"210",6,10000,10,1
"211",6,10000,11,0.99
"212",6,10000,12,0.99
"213",6,10000,13,1
"214",6,10000,14,1
"215",6,10000,15,0.99
"216",6,10000,16,1
"217",6,10000,17,1
"218",6,10000,18,0.98
"219",6,10000,19,1
"220",6,10000,20,1
"221",6,10000,21,1
"222",6,10000,22,0.99
"223",6,10000,23,1
"224",6,10000,24,0.99
"225",6,10000,25,1
"226",6,10000,26,1
"227",6,10000,27,1
"228",6,10000,28,1
"229",6,10000,29,0.99
"230",6,10000,30,0.99
"231",6,10000,31,0.98
"232",6,10000,32,1
"233",6,10000,33,1
"234",6,10000,34,1
"235",6,10000,35,1
"236",6,10000,36,1
"237",6,10000,37,0.99
"238",6,10000,38,1
"239",6,10000,39,1
"240",6,10000,40,0.99
"241",6,10000,41,0.99
"242",6,10000,42,1
"243",6,10000,43,1
"244",6,10000,44,0.99
"245",6,10000,45,0.99
"246",6,10000,46,1
"247",6,10000,47,1
"248",6,10000,48,1
"249",6,10000,49,1
"250",6,10000,50,1
"251",6,10000,51,0.99
"252",6,10000,52,1
"253",6,10000,53,1
"254",6,10000,54,1
"255",6,10000,55,1
"256",6,10000,56,0.99
"257",6,10000,57,0.99
"258",6,10000,58,1
"259",6,10000,59,1
"260",6,10000,60,1
"261",6,10000,61,0.99
"262",6,10000,62,0.99
"263",6,10000,63,0.99
"264",6,10000,64,1
"265",6,10000,65,1
"266",6,10000,66,1
"267",6,10000,67,0.99
"268",6,10000,68,0.99
"269",6,10000,69,1
"270",6,10000,70,1
"271",6,10000,71,1
"272",6,10000,72,1
"273",6,10000,73,1
"274",6,10000,74,0.99
"275",6,10000,75,1
"276",6,10000,76,1
"277",6,10000,77,1
"278",6,10000,78,1
"279",6,10000,79,1
"280",6,10000,80,1
"281",6,10000,81,1
"282",6,10000,82,1
"283",6,10000,83,1
"284",6,10000,84,1
"285",6,10000,85,1
"286",6,10000,86,1
"287",6,10000,87,1
"288",6,10000,88,1
"289",6,10000,89,1
"290",6,10000,90,0.99
"291",6,10000,91,1
"292",6,10000,92,1
"293",6,10000,93,1
"294",6,10000,94,1
"295",6,10000,95,1
"296",6,10000,96,1
"297",6,10000,97,1
"298",6,10000,98,1
"299",6,10000,99,1
"300",6,10000,100,1
"301",10,100,1,0.86
"302",10,100,2,0.88
"303",10,100,3,0.84
"304",10,100,4,0.89
"305",10,100,5,0.84
"306",10,100,6,0.93
"307",10,100,7,0.9
"308",10,100,8,0.94
"309",10,100,9,0.92
"310",10,100,10,0.84
"311",10,100,11,0.9
"312",10,100,12,0.92
"313",10,100,13,0.94
"314",10,100,14,0.89
"315",10,100,15,0.89
"316",10,100,16,0.89
"317",10,100,17,0.9
"318",10,100,18,0.96
"319",10,100,19,0.93
"320",10,100,20,0.89
"321",10,100,21,0.9
"322",10,100,22,0.84
"323",10,100,23,0.91
"324",10,100,24,0.88
"325",10,100,25,0.94
"326",10,100,26,0.86
"327",10,100,27,0.92
"328",10,100,28,0.92
"329",10,100,29,0.91
"330",10,100,30,0.87
"331",10,100,31,0.92
"332",10,100,32,0.88
"333",10,100,33,0.88
"334",10,100,34,0.9
"335",10,100,35,0.92
"336",10,100,36,0.93
"337",10,100,37,0.87
"338",10,100,38,0.89
"339",10,100,39,0.92
"340",10,100,40,0.84
"341",10,100,41,0.91
"342",10,100,42,0.82
"343",10,100,43,0.93
"344",10,100,44,0.88
"345",10,100,45,0.85
"346",10,100,46,0.88
"347",10,100,47,0.89
"348",10,100,48,0.93
"349",10,100,49,0.88
"350",10,100,50,0.89
"351",10,100,51,0.93
"352",10,100,52,0.98
"353",10,100,53,0.85
"354",10,100,54,0.88
"355",10,100,55,0.89
"356",10,100,56,0.85
"357",10,100,57,0.91
"358",10,100,58,0.91
"359",10,100,59,0.92
"360",10,100,60,0.92
"361",10,100,61,0.9
"362",10,100,62,0.91
"363",10,100,63,0.92
"364",10,100,64,0.94
"365",10,100,65,0.87
"366",10,100,66,0.9
"367",10,100,67,0.88
"368",10,100,68,0.92
"369",10,100,69,0.92
"370",10,100,70,0.94
"371",10,100,71,0.92
"372",10,100,72,0.94
"373",10,100,73,0.92
"374",10,100,74,0.94
"375",10,100,75,0.91
"376",10,100,76,0.9
"377",10,100,77,0.89
"378",10,100,78,0.96
"379",10,100,79,0.82
"380",10,100,80,0.89
"381",10,100,81,0.96
"382",10,100,82,0.92
"383",10,100,83,0.93
"384",10,100,84,0.89
"385",10,100,85,0.93
"386",10,100,86,0.88
"387",10,100,87,0.89
"388",10,100,88,0.93
"389",10,100,89,0.89
"390",10,100,90,0.92
"391",10,100,91,0.87
"392",10,100,92,0.94
"393",10,100,93,0.92
"394",10,100,94,0.87
"395",10,100,95,0.94
"396",10,100,96,0.88
"397",10,100,97,0.93
"398",10,100,98,0.85
"399",10,100,99,0.9
"400",10,100,100,0.92
"401",10,1000,1,0.97
"402",10,1000,2,0.93
"403",10,1000,3,0.93
"404",10,1000,4,0.93
"405",10,1000,5,0.94
"406",10,1000,6,0.94
"407",10,1000,7,0.95
"408",10,1000,8,0.93
"409",10,1000,9,0.92
"410",10,1000,10,0.99
"411",10,1000,11,0.92
"412",10,1000,12,0.91
"413",10,1000,13,0.99
"414",10,1000,14,0.97
"415",10,1000,15,0.95
"416",10,1000,16,0.94
