"","Candidates","Voters","Simulation","Agreement"
"417",10,1000,17,0.97
"418",10,1000,18,0.92
"419",10,1000,19,0.97
"420",10,1000,20,0.96
"421",10,1000,21,0.97
"422",10,1000,22,0.98
"423",10,1000,23,0.94
"424",10,1000,24,0.95
"425",10,1000,25,0.93
"426",10,1000,26,0.96
"427",10,1000,27,0.97
"428",10,1000,28,0.91
"429",10,1000,29,0.96
"430",10,1000,30,0.97
"431",10,1000,31,0.92
"432",10,1000,32,0.97
"433",10,1000,33,0.92
"434",10,1000,34,0.99
"435",10,1000,35,0.95
"436",10,1000,36,0.96
"437",10,1000,37,0.96
"438",10,1000,38,0.94
"439",10,1000,39,0.98
"440",10,1000,40,0.98
"441",10,1000,41,0.98
"442",10,1000,42,0.95
"443",10,1000,43,0.96
"444",10,1000,44,0.94
"445",10,1000,45,0.95
"446",10,1000,46,0.95
"447",10,1000,47,0.98
"448",10,1000,48,0.9
"449",10,1000,49,0.95
"450",10,1000,50,0.93
"451",10,1000,51,0.95
"452",10,1000,52,0.97
"453",10,1000,53,0.94
"454",10,1000,54,0.96
"455",10,1000,55,0.96
"456",10,1000,56,0.98
"457",10,1000,57,0.96
"458",10,1000,58,0.95
"459",10,1000,59,0.96
"460",10,1000,60,0.95
"461",10,1000,61,0.91
"462",10,1000,62,0.96
"463",10,1000,63,0.95
"464",10,1000,64,0.95
"465",10,1000,65,0.95
"466",10,1000,66,0.98
"467",10,1000,67,0.97
"468",10,1000,68,0.99
"469",10,1000,69,0.96
"470",10,1000,70,0.99
"471",10,1000,71,0.98
"472",10,1000,72,0.98
"473",10,1000,73,0.97
"474",10,1000,74,0.95
"475",10,1000,75,0.97
"476",10,1000,76,0.95
"477",10,1000,77,0.96
"478",10,1000,78,0.99
"479",10,1000,79,0.96
"480",10,1000,80,0.95
"481",10,1000,81,0.95
"482",10,1000,82,0.97
"483",10,1000,83,0.94
"484",10,1000,84,0.94
"485",10,1000,85,0.99
"486",10,1000,86,0.96
"487",10,1000,87,0.94
"488",10,1000,88,0.96
"489",10,1000,89,0.99
"490",10,1000,90,0.98
"491",10,1000,91,0.97
"492",10,1000,92,0.96
"493",10,1000,93,0.96
"494",10,1000,94,0.98
"495",10,1000,95,0.98
"496",10,1000,96,0.98
"497",10,1000,97,0.94
"498",10,1000,98,0.95
"499",10,1000,99,0.96
"500",10,1000,100,0.97
"501",10,10000,1,1
"502",10,10000,2,0.99
"503",10,10000,3,1
"504",10,10000,4,1
"505",10,10000,5,1
"506",10,10000,6,1
"507",10,10000,7,1
"508",10,10000,8,1
"509",10,10000,9,1
"510",10,10000,10,1
"511",10,10000,11,1
"512",10,10000,12,1
"513",10,10000,13,1
"514",10,10000,14,0.99
"515",10,10000,15,1
"516",10,10000,16,1
"517",10,10000,17,1
"518",10,10000,18,1
"519",10,10000,19,1
"520",10,10000,20,1
"521",10,10000,21,0.99
"522",10,10000,22,0.99
"523",10,10000,23,1
"524",10,10000,24,1
"525",10,10000,25,1
"526",10,10000,26,1
"527",10,10000,27,1
"528",10,10000,28,1
"529",10,10000,29,1
"530",10,10000,30,1
"531",10,10000,31,1
"532",10,10000,32,1
"533",10,10000,33,0.99
"534",10,10000,34,1
"535",10,10000,35,1
"536",10,10000,36,1
"537",10,10000,37,1
"538",10,10000,38,1
"539",10,10000,39,1
"540",10,10000,40,1
"541",10,10000,41,1
"542",10,10000,42,1
"543",10,10000,43,1
"544",10,10000,44,1
"545",10,10000,45,1
"546",10,10000,46,1
"547",10,10000,47,0.99
"548",10,10000,48,1
"549",10,10000,49,1
"550",10,10000,50,1
"551",10,10000,51,1
"552",10,10000,52,1
"553",10,10000,53,1
"554",10,10000,54,1
"555",10,10000,55,1
"556",10,10000,56,1
"557",10,10000,57,1
"558",10,10000,58,0.99
"559",10,10000,59,1
"560",10,10000,60,1
"561",10,10000,61,1
"562",10,10000,62,0.99
"563",10,10000,63,1
"564",10,10000,64,1
"565",10,10000,65,1
"566",10,10000,66,1
"567",10,10000,67,1
"568",10,10000,68,1
"569",10,10000,69,1
"570",10,10000,70,0.99
"571",10,10000,71,1
"572",10,10000,72,1
"573",10,10000,73,1
"574",10,10000,74,0.99
"575",10,10000,75,1
"576",10,10000,76,1
"577",10,10000,77,1
"578",10,10000,78,0.99
"579",10,10000,79,0.99
"580",10,10000,80,1
"581",10,10000,81,0.99
"582",10,10000,82,1
"583",10,10000,83,1
"584",10,10000,84,1
"585",10,10000,85,1
"586",10,10000,86,1
"587",10,10000,87,1
"588",10,10000,88,1
"589",10,10000,89,0.99
"590",10,10000,90,0.99
"591",10,10000,91,1
"592",10,10000,92,0.99
"593",10,10000,93,1
"594",10,10000,94,1
"595",10,10000,95,1
"596",10,10000,96,1
"597",10,10000,97,1
"598",10,10000,98,1
"599",10,10000,99,1
"600",10,10000,100,1
