"","Voters","Prop1","Prop2","Simulation","Frac4Wins"
"1",10000,0.54,0.46,1,1
"2",10000,0.55,0.45,1,1
"3",10000,0.56,0.44,1,1
"4",10000,0.57,0.43,1,1
"5",10000,0.58,0.42,1,0.999
"6",10000,0.59,0.41,1,0.623
"7",10000,0.6,0.4,1,0.004
"8",10000,0.61,0.39,1,0
"9",10000,0.62,0.38,1,0
"10",10000,0.63,0.37,1,0
"11",10000,0.64,0.36,1,0
