"","Voters","Prop1","Prop2","Simulation","Frac4Wins"
"1",1000,0.54,0.46,1,1
"2",1000,0.55,0.45,1,1
"3",1000,0.56,0.44,1,0.999
"4",1000,0.57,0.43,1,0.971
"5",1000,0.58,0.42,1,0.846
"6",1000,0.59,0.41,1,0.525
"7",1000,0.6,0.4,1,0.182
"8",1000,0.61,0.39,1,0.034
"9",1000,0.62,0.38,1,0.006
"10",1000,0.63,0.37,1,0
"11",1000,0.64,0.36,1,0
